,stockName,lasso_train_MSE,lasso_test_MSE,linear_train_MSE,linear_test_MSE,linear_train_R2,var_testY,param
0,sym_1.csv,500.372881957,1076.28469747,520.284727949,1077.61104147,0.261522140148,1332.59938833,"[0.030787069622917787, 24000]"
1,sym_10.csv,528.020152752,585.545580751,551.052722992,582.013831595,0.197539680034,672.007872448,"[0.2195034278587293, 24000]"
2,sym_100.csv,868.797336349,750.246497812,908.902142723,746.045241125,0.237328742812,1102.36196706,"[0.4535443393541344, 24000]"
3,sym_11.csv,981.644307973,740.437579756,1017.51244933,740.1522589,0.21684490231,1005.04592256,"[0.3142211255917205, 24000]"
4,sym_12.csv,700.940629513,740.59999812,728.52743663,740.258799213,0.259058523187,1013.02036214,"[0.10157736065229762, 24000]"
5,sym_13.csv,336.364889609,401.983507785,349.616620515,400.618683722,0.254715927002,474.965512292,"[0.06727700286470951, 24000]"
6,sym_14.csv,1045.94310703,1622.54053487,1085.260868,1626.31552297,0.274081025813,2158.5345312,"[0.10331149343253891, 24000]"
7,sym_15.csv,677.847084631,804.425543822,706.343888249,805.008156963,0.185147040016,997.124089827,"[0.18023004102177584, 24000]"
8,sym_16.csv,941.36779327,932.508732385,983.043527655,931.318948173,0.263185477664,1175.9408869,"[0.06019372809474049, 24000]"
9,sym_17.csv,670.337511523,568.925492514,698.599986721,569.289300823,0.210960240497,699.301128162,"[0.37974945224165635, 24000]"
